INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-06-01T09:00:00-00:00,2024-06-01T10:00:00-00:00,1,2024-06-01,3,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T08:00:00-00:00,2024-06-01T09:00:00-00:00,1,2024-06-01,2,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T07:00:00-00:00,2024-06-01T08:00:00-00:00,1,2024-06-01,1,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-02T06:00:00-00:00,2024-06-02T07:00:00-00:00,1,2024-06-01,24,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-02T02:00:00-00:00,2024-06-02T03:00:00-00:00,1,2024-06-01,20,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-02T01:00:00-00:00,2024-06-02T02:00:00-00:00,1,2024-06-01,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T22:00:00-00:00,2024-06-01T23:00:00-00:00,1,2024-06-01,16,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T20:00:00-00:00,2024-06-01T21:00:00-00:00,1,2024-06-01,14,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T12:00:00-00:00,2024-06-01T13:00:00-00:00,1,2024-06-01,6,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-02T04:00:00-00:00,2024-06-02T05:00:00-00:00,1,2024-06-01,22,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T14:00:00-00:00,2024-06-01T15:00:00-00:00,1,2024-06-01,8,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T11:00:00-00:00,2024-06-01T12:00:00-00:00,1,2024-06-01,5,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-02T05:00:00-00:00,2024-06-02T06:00:00-00:00,1,2024-06-01,23,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T23:00:00-00:00,2024-06-02T00:00:00-00:00,1,2024-06-01,17,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T19:00:00-00:00,2024-06-01T20:00:00-00:00,1,2024-06-01,13,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T18:00:00-00:00,2024-06-01T19:00:00-00:00,1,2024-06-01,12,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-02T03:00:00-00:00,2024-06-02T04:00:00-00:00,1,2024-06-01,21,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T16:00:00-00:00,2024-06-01T17:00:00-00:00,1,2024-06-01,10,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T15:00:00-00:00,2024-06-01T16:00:00-00:00,1,2024-06-01,9,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-02T00:00:00-00:00,2024-06-02T01:00:00-00:00,1,2024-06-01,18,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T21:00:00-00:00,2024-06-01T22:00:00-00:00,1,2024-06-01,15,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-06-01T22:00:00-00:00,2024-06-01T23:00:00-00:00,1,2024-06-01,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5199.17,DAM,3
2024-06-01T21:00:00-00:00,2024-06-01T22:00:00-00:00,1,2024-06-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4851.72,DAM,3
2024-06-01T09:00:00-00:00,2024-06-01T10:00:00-00:00,1,2024-06-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3505.92,DAM,3
2024-06-01T17:00:00-00:00,2024-06-01T18:00:00-00:00,1,2024-06-01,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3570.9,DAM,3
2024-06-02T05:00:00-00:00,2024-06-02T06:00:00-00:00,1,2024-06-01,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4510.71,DAM,3
2024-06-01T08:00:00-00:00,2024-06-01T09:00:00-00:00,1,2024-06-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3698.81,DAM,3
2024-06-01T12:00:00-00:00,2024-06-01T13:00:00-00:00,1,2024-06-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3272.01,DAM,3
2024-06-01T14:00:00-00:00,2024-06-01T15:00:00-00:00,1,2024-06-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3294.76,DAM,3
2024-06-01T16:00:00-00:00,2024-06-01T17:00:00-00:00,1,2024-06-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3394.96,DAM,3
2024-06-01T18:00:00-00:00,2024-06-01T19:00:00-00:00,1,2024-06-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3832.57,DAM,3
2024-06-01T23:00:00-00:00,2024-06-02T00:00:00-00:00,1,2024-06-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5478.86,DAM,3
2024-06-01T07:00:00-00:00,2024-06-01T08:00:00-00:00,1,2024-06-01,1,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3955.34,DAM,3
2024-06-01T10:00:00-00:00,2024-06-01T11:00:00-00:00,1,2024-06-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3366.08,DAM,3
2024-06-02T02:00:00-00:00,2024-06-02T03:00:00-00:00,1,2024-06-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5428.21,DAM,3
2024-06-02T03:00:00-00:00,2024-06-02T04:00:00-00:00,1,2024-06-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5135.53,DAM,3
2024-06-02T01:00:00-00:00,2024-06-02T02:00:00-00:00,1,2024-06-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5681.12,DAM,3
2024-06-02T06:00:00-00:00,2024-06-02T07:00:00-00:00,1,2024-06-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4144.89,DAM,3
2024-06-01T15:00:00-00:00,2024-06-01T16:00:00-00:00,1,2024-06-01,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3313.86,DAM,3
2024-06-01T19:00:00-00:00,2024-06-01T20:00:00-00:00,1,2024-06-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4148.96,DAM,3
