INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-02-02T04:00:00-00:00,2024-02-02T05:00:00-00:00,1,2024-02-01,21,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T01:00:00-00:00,2024-02-02T02:00:00-00:00,1,2024-02-01,18,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T02:00:00-00:00,2024-02-02T03:00:00-00:00,1,2024-02-01,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T15:00:00-00:00,2024-02-01T16:00:00-00:00,1,2024-02-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3471.71,DAM,3
2024-02-02T01:00:00-00:00,2024-02-02T02:00:00-00:00,1,2024-02-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3523.66,DAM,3
2024-02-01T22:00:00-00:00,2024-02-01T23:00:00-00:00,1,2024-02-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3029.11,DAM,3
2024-02-02T03:00:00-00:00,2024-02-02T04:00:00-00:00,1,2024-02-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3509.97,DAM,3
2024-02-02T06:00:00-00:00,2024-02-02T07:00:00-00:00,1,2024-02-01,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3023.27,DAM,3
2024-02-02T07:00:00-00:00,2024-02-02T08:00:00-00:00,1,2024-02-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2902.67,DAM,3
2024-02-01T12:00:00-00:00,2024-02-01T13:00:00-00:00,1,2024-02-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3074.21,DAM,3
2024-02-01T13:00:00-00:00,2024-02-01T14:00:00-00:00,1,2024-02-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3409.7,DAM,3
2024-02-01T14:00:00-00:00,2024-02-01T15:00:00-00:00,1,2024-02-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3593.56,DAM,3
2024-02-01T16:00:00-00:00,2024-02-01T17:00:00-00:00,1,2024-02-01,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3216.01,DAM,3
2024-02-01T21:00:00-00:00,2024-02-01T22:00:00-00:00,1,2024-02-01,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2893.11,DAM,3
2024-02-02T02:00:00-00:00,2024-02-02T03:00:00-00:00,1,2024-02-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3511.46,DAM,3
2024-02-02T05:00:00-00:00,2024-02-02T06:00:00-00:00,1,2024-02-01,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3203.2,DAM,3
2024-02-01T08:00:00-00:00,2024-02-01T09:00:00-00:00,1,2024-02-01,1,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2749.42,DAM,3
2024-02-01T09:00:00-00:00,2024-02-01T10:00:00-00:00,1,2024-02-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2719.02,DAM,3
2024-02-01T11:00:00-00:00,2024-02-01T12:00:00-00:00,1,2024-02-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2825.86,DAM,3
2024-02-01T17:00:00-00:00,2024-02-01T18:00:00-00:00,1,2024-02-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2991.65,DAM,3
2024-02-01T19:00:00-00:00,2024-02-01T20:00:00-00:00,1,2024-02-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2780.3,DAM,3
2024-02-02T00:00:00-00:00,2024-02-02T01:00:00-00:00,1,2024-02-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3352.83,DAM,3
2024-02-01T23:00:00-00:00,2024-02-02T00:00:00-00:00,1,2024-02-01,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3191.52,DAM,3
2024-02-02T04:00:00-00:00,2024-02-02T05:00:00-00:00,1,2024-02-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3387.29,DAM,3
2024-02-01T10:00:00-00:00,2024-02-01T11:00:00-00:00,1,2024-02-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2733.02,DAM,3
2024-02-01T18:00:00-00:00,2024-02-01T19:00:00-00:00,1,2024-02-01,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2841.01,DAM,3
2024-02-01T20:00:00-00:00,2024-02-01T21:00:00-00:00,1,2024-02-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2783.51,DAM,3
2024-02-01T15:00:00-00:00,2024-02-01T16:00:00-00:00,1,2024-02-01,8,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1759.06,DAM,4
2024-02-01T19:00:00-00:00,2024-02-01T20:00:00-00:00,1,2024-02-01,12,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1754.4,DAM,4
